  Color Distribution of N-Back task for difficulty as indicated in filename 

StimulusNr      Color      Match       Lure 
         1          7          0          0 
         2          2          0          0 
         3          1          0          0 
         4          2          0          0 
         5          6          0          0 
         6          1          0          0 
         7          3          0          0 
         8          5          0          0 
         9          1          1          0 
        10          1          0          1 
        11          6          1          0 
        12          5          0          1 
        13          4          0          0 
        14          2          0          0 
        15          1          1          0 
        16          2          0          1 
        17          1          0          1 
        18          4          0          1 
        19          1          0          1 
        20          2          1          0 
        21          4          0          1 
        22          2          1          0 
        23          1          1          0 
        24          1          0          1 
        25          1          1          0 
        26          6          0          0 
        27          4          1          0 
        28          1          0          1 
        29          3          0          0 
        30          1          1          0 
        31          7          0          0 
        32          5          0          0 
        33          5          0          1 
        34          4          0          0 
        35          3          1          0 
        36          2          0          0 
        37          7          1          0 
        38          5          1          0 
        39          2          0          1 
        40          2          0          1 
        41          4          0          0 
        42          1          0          0 
